401, 49
401, 50
401, 50
401, 52
401, 52
401, 54
401, 54
401, 57
401, 57
401, 59
401, 59
401, 63
401, 63
400, 65
400, 65
398, 69
398, 69
396, 71
396, 71
394, 75
394, 75
388, 85
388, 85
383, 90
383, 90
378, 95
378, 95
373, 100
373, 100
366, 105
366, 105
359, 110
359, 110
351, 115
351, 115
344, 121
344, 121
336, 126
336, 126
328, 128
328, 128
321, 132
321, 132
313, 134
313, 134
302, 138
302, 138
291, 141
291, 141
280, 144
280, 144
269, 146
269, 146
257, 149
257, 149
245, 153
245, 153
233, 155
233, 155
221, 158
221, 158
209, 158
209, 158
-1, -1
104, 285
104, 285
105, 285
106, 285
106, 285
109, 285
109, 285
114, 285
114, 285
117, 285
117, 285
129, 285
129, 285
136, 285
136, 285
143, 285
143, 285
149, 285
149, 285
158, 285
158, 285
168, 285
168, 285
178, 283
178, 283
190, 283
190, 283
204, 280
204, 280
218, 278
218, 278
235, 275
235, 275
252, 275
252, 275
270, 272
270, 272
287, 269
287, 269
304, 269
304, 269
322, 265
322, 265
333, 262
333, 262
344, 259
344, 259
355, 256
355, 256
362, 253
362, 253
368, 251
368, 251
373, 249
373, 249
375, 249
375, 249
376, 248
377, 248
377, 248
378, 247
379, 246
379, 246
-1, -1
343, 200
343, 200
341, 205
341, 205
339, 209
339, 209
337, 216
337, 216
333, 230
333, 230
330, 238
330, 238
328, 245
328, 245
326, 253
326, 253
320, 269
320, 269
318, 277
318, 277
314, 285
314, 285
312, 294
312, 294
309, 302
309, 302
307, 311
307, 311
307, 320
307, 320
304, 328
304, 328
302, 337
302, 337
299, 346
299, 346
299, 355
299, 355
297, 364
297, 364
294, 372
294, 372
292, 381
292, 381
292, 389
292, 389
290, 397
290, 397
287, 403
287, 403
285, 408
285, 408
283, 414
283, 414
281, 418
281, 418
-1, -1
